brand,ranking,price 

# 1 Best Selling           ,OnePlus 6 (Mirror Black 6GB RAM + 64GB Memory),  Rs. 34999.00

# 2 Best Selling           ,RealMe 1 (Diamond Black| 6+128 GB),  Rs. 13990.00

# 3 Best Selling           ,Moto G6 (Indigo Black| 64GB),  Rs. 15999.00

# 4 Best Selling           ,Redmi 5 (Gold| 32GB),  Rs. 8999.00

# 5 Best Selling           ,Moto G5s Plus (Lunar Grey| 64GB),  Rs. 12999.00

# 6 Best Selling           ,Moto E4 Plus (Fine Gold| 32GB),  Rs. 8098.00

# 7 Best Selling           ,Redmi Y1 (Gold| 32GB),  Rs. 8999.00

# 8 Best Selling           ,Coming Soon - Honor 7C Blue (5.99" FullView Display| 32GB),  Rs. 9999.00

# 9 Best Selling           ,Nokia 105 (Black),  Rs. 999.00

# 10 Best Selling           ,10.or D (Beyond Black| 3 GB),  Rs. 5999.00
